default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,housing_for free,housing_own,housing_rent,present_emp_since_.. >= 7 years,present_emp_since_... < 1 year,present_emp_since_1 <= ... < 4 years,present_emp_since_4 <= ... < 7 years,present_emp_since_unemployed
1,1,6,0,4,1169,4,4,1,2,4,2,67,1,2,0,1,1,1,0,1,0,1,0,0,0,0
0,0,48,1,4,5951,1,2,0,2,2,2,22,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,3,12,0,0,2096,1,2,1,2,3,2,49,1,1,1,2,0,1,0,1,0,0,0,0,1,0
1,1,42,1,7,7882,1,2,1,1,4,0,45,1,1,0,2,0,1,1,0,0,0,0,0,1,0
0,1,24,0,2,4870,1,3,1,2,4,3,53,1,2,0,2,0,1,1,0,0,0,0,1,0,0
1,3,36,1,0,9055,4,2,1,2,4,3,35,1,1,1,2,1,1,1,0,0,0,0,1,0,0
1,3,24,1,7,2835,3,3,1,2,4,0,53,1,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,36,1,3,6948,1,2,1,2,2,1,35,1,1,0,1,1,1,0,0,1,0,0,1,0,0
1,3,12,1,4,3059,0,2,1,2,4,2,61,1,1,1,1,0,1,0,1,0,0,0,0,1,0
0,0,30,0,2,5234,1,4,1,2,2,1,28,1,2,0,1,0,1,0,1,0,0,0,0,0,1
0,0,12,1,2,1295,1,3,0,2,1,1,25,1,1,0,1,0,1,0,0,1,0,1,0,0,0
0,1,48,1,1,4308,1,3,0,2,4,0,24,1,1,0,1,0,1,0,0,1,0,1,0,0,0
1,0,12,1,4,1567,1,1,0,2,1,1,22,1,1,0,1,1,1,0,1,0,0,0,1,0,0
0,1,24,0,2,1199,1,4,1,2,4,1,60,1,2,1,1,0,1,0,1,0,1,0,0,0,0
1,1,15,1,2,1403,1,2,0,2,4,1,28,1,1,0,1,0,1,0,0,1,0,0,1,0,0
0,1,24,1,4,1282,2,4,0,2,2,1,32,1,1,1,1,0,1,0,1,0,0,0,1,0,0
1,3,24,0,4,2424,4,4,1,2,4,0,53,1,2,0,1,0,1,0,1,0,1,0,0,0,0
1,1,30,1,1,8072,4,2,1,2,3,1,25,0,3,0,1,0,1,0,1,0,0,1,0,0,0
0,0,24,1,3,12579,1,4,0,2,2,3,44,1,1,0,1,1,1,1,0,0,1,0,0,0,0
1,3,24,1,4,3430,3,3,1,2,2,1,31,1,1,0,2,1,1,0,1,0,1,0,0,0,0
1,3,9,0,2,2134,1,4,1,2,4,1,48,1,3,0,1,1,1,0,1,0,0,0,1,0,0
1,1,6,1,4,2647,3,2,1,2,3,2,44,1,1,0,2,0,1,0,0,1,0,0,1,0,0
1,1,10,0,2,2241,1,1,1,2,3,2,48,1,2,1,2,0,0,0,0,1,0,1,0,0,0
1,0,12,0,3,1804,2,3,1,2,4,0,44,1,1,0,1,0,1,0,1,0,0,1,0,0,0
1,3,10,0,7,2069,4,2,1,2,1,1,26,1,2,0,1,0,0,0,1,0,0,0,1,0,0
1,1,6,1,7,1374,1,1,1,2,2,2,36,0,1,1,1,1,1,0,1,0,0,0,1,0,0
1,3,6,1,4,426,1,4,1,2,4,1,39,1,1,1,1,0,1,0,1,0,1,0,0,0,0
1,2,12,1,4,409,0,3,0,2,3,2,42,1,2,0,1,0,1,0,0,1,0,0,1,0,0
1,0,7,1,4,2415,1,3,1,1,2,2,34,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,1,60,0,1,6836,1,3,1,2,4,3,63,1,2,0,1,1,1,0,1,0,1,0,0,0,0
1,0,18,1,1,1913,0,3,1,2,3,2,36,0,1,0,1,1,1,0,1,0,0,1,0,0,0
1,1,24,1,7,4020,1,2,1,2,2,1,27,2,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,18,1,2,5866,2,2,1,2,2,1,30,1,2,0,1,1,1,0,1,0,0,0,1,0,0
1,3,12,0,1,1264,4,4,1,2,4,3,57,1,1,1,1,0,1,0,0,1,1,0,0,0,0
1,2,12,1,7,1474,1,4,0,2,1,0,33,0,1,0,1,1,1,0,1,0,0,1,0,0,0
0,0,45,0,4,4746,1,4,1,2,2,0,25,1,2,1,1,0,1,0,1,0,0,1,0,0,0
1,3,48,0,0,6110,1,1,1,2,3,3,31,0,1,0,1,1,1,1,0,0,0,0,1,0,0
0,2,18,1,4,2100,1,4,1,0,2,2,37,2,1,0,1,0,1,0,1,0,0,0,1,0,0
1,2,10,1,8,1225,1,2,1,2,2,1,37,1,1,0,1,1,1,0,1,0,0,0,1,0,0
1,0,9,1,4,458,1,4,1,2,3,2,24,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,3,30,1,4,2333,3,4,1,2,2,1,30,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,12,1,4,1158,3,3,1,2,1,1,26,1,1,0,1,1,1,0,1,0,0,0,1,0,0
1,0,18,0,5,6204,1,2,1,2,4,2,44,1,1,1,2,1,1,0,1,0,0,0,1,0,0
1,1,30,0,3,6187,2,1,1,2,4,1,24,1,2,0,1,0,1,0,0,1,0,0,0,1,0
0,1,48,0,3,6143,1,4,0,2,4,3,58,2,2,1,1,0,1,1,0,0,1,0,0,0,0
1,3,11,0,2,1393,1,4,0,2,4,1,35,1,2,0,1,0,1,0,1,0,0,1,0,0,0
1,3,36,1,4,2299,3,4,1,2,4,1,39,1,1,0,1,0,1,0,1,0,1,0,0,0,0
1,1,6,1,3,1352,3,1,0,2,2,0,23,1,1,1,1,1,1,0,0,1,0,0,0,0,1
1,3,11,0,2,7228,1,1,1,2,4,0,39,1,2,1,1,0,1,0,1,0,0,0,1,0,0
1,3,12,1,4,2073,2,4,0,0,2,2,28,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,24,0,7,2333,4,4,1,2,2,0,29,0,1,1,1,0,1,0,1,0,0,1,0,0,0
1,0,27,0,3,5965,1,1,1,2,2,1,30,1,2,0,1,1,1,0,1,0,1,0,0,0,0
1,3,12,1,4,1262,1,3,1,2,2,1,25,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,3,18,1,3,3378,4,2,1,2,1,0,31,1,1,0,1,1,1,0,1,0,0,0,1,0,0
0,0,36,0,2,2225,1,4,1,2,4,3,57,0,2,0,1,1,1,1,0,0,1,0,0,0,0
1,3,6,1,2,783,4,1,1,1,2,2,26,2,1,1,2,0,1,0,1,0,0,0,1,0,0
0,0,12,1,4,6468,4,2,1,2,1,3,52,1,1,0,1,1,1,0,1,0,0,0,0,0,1
1,3,36,0,4,9566,1,2,0,2,2,1,31,2,2,0,1,0,1,0,1,0,0,0,1,0,0
1,2,18,1,2,1961,1,3,0,2,2,1,23,1,1,0,1,0,1,0,1,0,1,0,0,0,0
0,1,36,0,7,6229,1,4,0,0,4,3,23,1,2,1,1,1,1,0,0,1,0,1,0,0,0
1,0,9,1,1,1391,1,2,1,2,1,2,27,0,1,0,1,1,1,0,1,0,0,0,1,0,0
1,0,15,0,4,1537,4,4,1,1,4,2,50,1,2,0,1,1,1,0,1,0,1,0,0,0,0
0,0,36,1,1,1953,1,4,1,2,4,3,61,1,1,0,1,1,1,1,0,0,1,0,0,0,0
0,0,48,1,1,14421,1,2,1,2,2,1,25,1,1,0,1,1,1,0,1,0,0,0,1,0,0
1,3,24,1,4,3181,1,4,0,2,4,0,26,1,1,0,1,1,1,0,1,0,0,1,0,0,0
1,3,27,1,5,5190,4,4,1,2,4,0,48,1,4,0,2,1,1,0,1,0,1,0,0,0,0
1,3,12,1,4,2171,1,2,0,2,2,1,29,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,12,1,2,1007,0,4,1,2,1,2,22,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,3,36,1,0,1819,1,4,1,2,4,3,37,2,1,0,1,1,1,1,0,0,0,0,1,0,0
1,3,36,1,4,2394,4,4,0,2,4,1,25,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,3,36,1,3,8133,1,1,0,2,2,0,30,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,3,7,0,4,730,4,4,1,2,2,0,46,1,2,1,1,1,1,0,0,1,1,0,0,0,0
1,1,8,0,6,1164,1,3,1,2,4,3,51,0,2,0,2,1,1,1,0,0,1,0,0,0,0
1,0,42,0,1,5954,1,2,0,2,1,2,41,0,2,1,1,0,1,0,1,0,0,0,0,1,0
0,1,36,1,0,1977,4,4,1,2,4,3,40,1,1,0,1,1,1,0,1,0,1,0,0,0,0
1,1,12,0,3,1526,1,4,1,2,4,3,66,1,2,0,1,0,1,1,0,0,1,0,0,0,0
0,1,42,1,4,3965,1,4,1,2,3,1,34,1,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,11,0,4,4771,1,2,1,2,4,0,51,1,1,0,1,0,1,0,1,0,0,0,0,1,0
1,3,54,1,3,9436,4,2,1,2,2,0,39,1,1,1,2,0,1,0,1,0,0,0,1,0,0
1,0,30,1,7,3832,1,2,1,2,1,0,22,1,1,0,1,0,1,0,1,0,0,1,0,0,0
0,3,24,1,4,5943,4,1,0,2,1,1,44,1,2,0,1,1,1,0,1,0,0,1,0,0,0
1,3,15,1,4,1213,3,4,1,2,3,0,47,2,1,0,1,1,1,0,1,0,1,0,0,0,0
1,3,18,1,1,1568,2,3,0,2,4,0,24,1,1,1,1,0,1,0,0,1,0,0,1,0,0
1,1,24,1,6,1755,1,4,0,1,4,2,58,1,1,1,1,1,1,0,1,0,1,0,0,0,0
1,1,10,1,4,2315,1,3,1,2,4,2,52,1,1,1,1,0,1,0,1,0,1,0,0,0,0
1,3,12,0,1,1412,1,4,0,1,2,2,29,1,2,0,1,1,1,0,1,0,0,0,1,0,0
1,0,18,0,7,1295,1,4,0,2,1,0,27,1,2,0,1,0,1,0,1,0,0,1,0,0,0
0,0,36,1,0,12612,2,1,1,2,4,3,47,1,1,0,2,1,1,1,0,0,0,0,1,0,0
1,1,18,1,2,2249,2,4,1,2,3,1,30,1,1,0,2,1,1,0,1,0,0,0,0,1,0
0,1,12,1,5,1108,1,4,1,2,3,2,28,1,2,0,1,0,1,0,1,0,0,0,0,1,0
1,3,12,0,4,618,1,4,1,2,4,2,56,1,1,0,1,0,1,0,1,0,1,0,0,0,0
1,1,12,0,3,1409,1,4,1,2,3,2,54,1,1,0,1,0,1,0,1,0,1,0,0,0,0
0,3,12,0,4,797,4,4,0,2,3,0,33,0,1,1,2,0,1,0,1,0,1,0,0,0,0
1,2,24,0,7,3617,4,4,1,0,4,3,20,1,2,0,1,0,1,0,0,1,1,0,0,0,0
1,0,12,1,2,1318,0,4,1,2,4,2,54,1,1,0,1,1,1,0,1,0,1,0,0,0,0
0,0,54,1,1,15945,1,3,1,2,4,3,58,1,1,0,1,1,1,0,0,1,0,1,0,0,0
1,3,12,0,0,2012,4,4,0,2,2,1,61,1,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,18,1,1,2622,2,4,1,2,4,1,34,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,36,0,4,2337,1,4,1,2,4,2,36,1,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,20,0,3,7057,4,3,1,2,4,0,36,0,2,0,2,1,1,0,0,1,0,0,0,1,0
1,3,24,1,2,1469,2,4,1,2,4,2,41,1,1,1,1,0,1,0,0,1,1,0,0,0,0
1,0,36,1,4,2323,1,4,1,2,4,1,24,1,1,0,1,0,1,0,0,1,0,0,0,1,0
1,3,6,0,4,932,1,3,0,2,2,2,24,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,9,0,7,1919,1,4,1,2,3,1,35,1,1,0,1,1,1,0,0,1,0,0,0,1,0
1,3,12,1,3,2445,4,2,1,2,4,1,26,1,1,0,1,1,1,0,0,1,0,1,0,0,0
0,0,24,0,6,11938,1,2,1,0,3,1,39,1,2,0,2,1,1,0,1,0,0,0,1,0,0
0,3,18,1,2,6458,1,2,1,2,4,3,39,0,2,0,2,1,1,0,1,0,1,0,0,0,0
1,0,12,1,2,6078,1,2,1,2,2,1,32,1,1,0,1,0,1,0,1,0,0,0,0,1,0
1,1,24,1,7,7721,4,1,0,2,2,0,30,1,1,0,1,1,0,0,1,0,0,1,0,0,0
1,0,14,1,1,1410,3,1,1,2,2,2,35,1,1,0,1,1,1,0,1,0,1,0,0,0,0
1,0,6,0,1,1449,2,1,1,2,2,1,31,0,2,0,2,0,1,0,1,0,1,0,0,0,0
1,2,15,1,0,392,1,4,0,2,4,0,23,1,1,0,1,1,1,0,0,1,0,1,0,0,0
1,0,18,1,2,6260,1,3,1,2,3,2,28,1,1,1,1,0,1,0,0,1,0,0,0,1,0
0,3,36,0,2,7855,1,4,0,2,2,2,25,2,2,0,1,1,1,0,1,0,0,0,1,0,0
1,1,12,1,4,1680,3,3,1,2,1,2,35,1,1,0,1,0,1,0,1,0,1,0,0,0,0
1,3,48,0,4,3578,4,4,1,2,1,2,47,1,1,0,1,1,1,0,1,0,1,0,0,0,0
0,1,42,1,4,7174,4,4,0,2,3,1,30,1,1,0,1,1,1,0,1,0,0,0,0,1,0
1,1,10,0,7,2132,4,2,0,0,3,2,27,1,2,0,1,0,0,0,0,1,0,1,0,0,0
0,1,33,0,7,4281,3,1,0,2,4,1,23,1,2,0,1,0,1,0,1,0,0,0,1,0,0
1,0,12,0,2,2366,3,3,1,2,3,1,36,1,1,0,1,1,1,0,1,0,0,0,0,1,0
0,1,21,1,4,1835,1,3,0,2,2,2,25,1,2,0,1,1,1,0,1,0,0,0,1,0,0
1,3,24,0,3,3868,1,4,0,2,2,1,41,1,2,0,1,1,1,0,0,1,1,0,0,0,0
1,3,12,1,7,1768,1,3,1,2,2,2,24,1,1,1,1,0,1,0,0,1,0,0,1,0,0
1,2,10,0,2,781,1,4,1,2,4,3,63,1,2,0,1,1,1,1,0,0,1,0,0,0,0
0,0,18,1,7,1924,4,4,0,2,3,2,27,1,1,0,1,0,1,0,0,1,0,1,0,0,0
1,1,12,0,2,2121,1,4,1,2,2,0,30,1,2,0,1,0,1,0,1,0,0,0,1,0,0
1,1,12,1,4,701,1,4,1,2,2,2,40,1,1,1,1,0,1,0,1,0,0,0,1,0,0
0,0,12,1,5,639,1,4,1,2,2,1,30,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,12,0,3,1860,1,4,1,2,2,1,34,1,2,0,1,1,1,0,1,0,0,0,0,0,1
0,1,12,0,2,3499,1,3,0,0,2,2,29,1,2,0,1,0,1,0,1,0,0,0,1,0,0
1,0,48,1,2,8487,4,1,0,2,2,1,24,1,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1,36,0,0,6887,1,4,1,2,3,0,29,2,1,0,1,1,1,0,1,0,0,0,1,0,0
1,3,15,1,7,2708,1,2,1,2,3,0,27,0,2,1,1,0,1,0,1,0,0,1,0,0,0
1,3,18,1,7,1984,1,4,1,2,4,3,47,0,2,0,1,0,1,1,0,0,0,0,1,0,0
1,3,60,1,4,10144,2,2,0,2,4,2,21,1,1,0,1,1,1,0,1,0,0,0,0,1,0
1,3,12,0,4,1240,4,4,0,2,2,2,38,1,2,0,1,1,1,0,1,0,1,0,0,0,0
1,3,27,0,3,8613,0,2,1,2,2,1,27,1,2,0,1,0,1,0,1,0,0,0,1,0,0
0,0,12,1,4,766,3,4,1,2,3,2,66,1,1,1,1,0,1,0,1,0,0,0,1,0,0
1,0,15,0,4,2728,4,4,1,1,2,2,35,0,3,0,1,1,1,0,1,0,0,0,0,1,0
1,2,12,1,4,1881,1,2,0,2,2,1,44,1,1,1,1,1,1,0,0,1,0,0,1,0,0
1,2,6,1,2,709,0,2,1,2,2,2,27,1,1,1,1,0,0,0,1,0,0,1,0,0,0
1,0,36,1,4,4795,1,4,0,2,1,3,30,1,1,0,1,1,1,0,1,0,0,1,0,0,0
1,1,27,1,4,3416,1,3,1,2,2,1,27,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,1,18,1,7,2462,1,2,1,2,2,1,22,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,3,21,0,7,2288,1,4,0,2,4,0,23,1,1,0,1,1,1,0,1,0,0,1,0,0,0
1,0,48,1,1,3566,2,4,1,2,2,1,30,1,1,0,1,0,1,0,1,0,0,0,0,1,0
1,1,6,0,2,860,1,1,0,2,4,3,39,1,2,0,1,1,1,0,1,0,1,0,0,0,0
1,3,12,0,2,682,2,4,0,2,3,1,51,1,2,0,1,1,1,0,1,0,0,0,0,1,0
1,1,36,0,7,5371,1,3,1,1,2,0,28,1,2,0,1,0,1,0,1,0,0,0,1,0,0
1,3,18,0,4,1582,0,4,1,2,4,1,46,1,2,0,1,0,1,0,1,0,1,0,0,0,0
1,3,6,1,4,1346,2,2,1,2,4,3,42,0,1,0,2,1,1,1,0,0,1,0,0,0,0
1,3,10,1,4,1924,1,1,1,2,4,0,38,1,1,0,1,1,0,0,1,0,0,0,1,0,0
1,2,36,1,4,5848,1,4,1,2,1,1,24,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,24,0,3,7758,0,2,0,2,4,3,29,1,1,0,1,0,1,0,0,1,1,0,0,0,0
1,0,24,0,1,6967,2,4,1,2,4,1,36,1,1,0,1,1,1,0,0,1,0,0,0,1,0
0,1,12,1,7,1282,1,2,0,2,4,1,20,1,1,0,1,0,1,0,0,1,0,0,1,0,0
1,1,9,0,5,1288,2,3,1,1,4,2,48,1,2,0,2,0,0,0,1,0,1,0,0,0,0
1,1,12,1,9,339,1,4,1,2,1,1,45,0,1,1,1,0,1,0,1,0,1,0,0,0,0
1,0,24,1,2,3512,2,2,1,2,3,1,38,0,2,0,1,1,1,0,1,0,0,0,0,1,0
1,3,6,0,4,1898,4,1,1,2,2,2,34,1,2,1,2,0,1,0,1,0,0,0,1,0,0
1,3,24,0,4,2872,2,3,1,2,4,2,36,1,1,0,2,1,1,0,1,0,1,0,0,0,0
1,3,18,0,2,1055,1,4,0,2,1,0,30,1,2,0,1,0,1,0,1,0,0,1,0,0,0
1,3,15,1,8,1262,3,4,1,2,3,0,36,1,2,0,1,1,1,0,1,0,0,0,0,1,0
1,0,10,1,2,7308,1,2,1,2,4,3,70,0,1,0,1,1,1,1,0,0,0,0,0,0,1
1,3,36,1,2,909,3,4,1,2,4,0,36,1,1,0,1,0,1,0,1,0,1,0,0,0,0
1,3,6,1,7,2978,3,1,1,2,2,1,32,1,1,0,1,1,1,0,1,0,0,0,1,0,0
0,1,18,1,7,1131,1,4,0,2,2,1,33,1,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,11,1,7,1577,0,4,0,2,1,2,20,1,1,0,1,0,1,0,1,0,0,1,0,0,0
1,3,24,1,7,3972,1,2,0,2,4,0,25,1,1,0,1,1,1,0,0,1,0,0,0,1,0
0,0,24,0,1,1935,1,4,1,2,4,2,31,1,2,0,1,1,1,0,1,0,1,0,0,0,0
0,1,15,1,2,950,1,4,1,2,3,1,33,1,2,0,2,0,1,0,0,1,1,0,0,0,0
1,3,12,1,7,763,1,4,0,2,1,2,26,1,1,0,1,1,1,0,1,0,0,0,1,0,0
0,0,24,0,7,2064,1,3,0,2,2,0,34,1,1,0,1,1,1,0,1,0,0,0,0,0,1
1,0,8,1,4,1414,1,4,1,1,2,2,33,1,1,0,1,0,0,0,1,0,0,0,1,0,0
0,1,21,0,0,3414,1,2,1,2,1,0,26,1,2,0,1,0,1,0,1,0,0,1,0,0,0
0,3,30,1,3,7485,4,4,0,2,1,2,53,0,1,0,1,1,1,0,1,0,0,0,0,0,1
1,1,12,1,7,2577,1,2,1,2,1,1,42,1,1,0,1,0,1,0,1,0,0,0,1,0,0
1,1,6,0,4,338,3,4,1,2,4,1,52,1,2,0,1,0,1,0,1,0,1,0,0,0,0
1,3,12,1,4,1963,1,4,1,2,2,1,31,1,2,0,2,1,1,0,0,1,0,0,0,1,0
1,1,21,0,2,571,1,4,1,2,4,2,65,1,2,0,1,0,1,0,1,0,1,0,0,0,0
0,3,36,0,1,9572,1,1,1,2,1,1,28,1,2,0,1,0,1,0,1,0,0,1,0,0,0
0,0,36,0,1,4455,1,2,1,2,2,2,30,2,2,0,1,1,1,0,1,0,0,0,1,0,0
0,1,21,1,2,1647,4,4,1,2,2,0,40,1,2,1,2,0,1,0,1,0,0,0,1,0,0
1,3,24,0,7,3777,0,4,1,2,4,2,50,1,1,0,1,1,1,0,1,0,0,0,1,0,0
0,0,18,0,2,884,1,4,1,2,4,1,36,0,1,0,2,1,1,0,1,0,1,0,0,0,0
1,3,15,0,4,1360,1,4,1,2,2,0,31,1,2,0,1,0,1,0,1,0,0,0,1,0,0
0,0,9,1,3,5129,1,2,0,2,4,3,74,0,1,0,2,1,1,1,0,0,1,0,0,0,0
1,0,16,0,2,1175,1,2,1,2,3,1,68,1,3,1,1,1,1,1,0,0,0,0,0,0,1
0,1,12,1,4,674,2,4,1,2,1,0,20,1,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,18,1,7,3244,1,1,0,2,4,1,33,0,2,0,1,1,1,0,1,0,0,0,1,0,0
0,3,24,1,1,4591,0,2,1,2,3,0,54,1,3,0,1,1,1,0,1,0,0,0,1,0,0
0,0,48,1,1,3844,2,4,1,2,4,3,34,1,1,1,2,0,1,1,0,0,0,0,0,1,0
0,0,27,1,1,3915,1,4,1,2,2,1,36,1,1,0,2,1,1,0,1,0,0,0,1,0,0
